Date,Open,High,Low,Close,Adj Close,Volume,days
2018-12-10,1448.01001,1449.930054,1422.97998,1443.099976,1443.099976,4162880000,201
2018-12-11,1444.290039,1465.76001,1431.880005,1440.130005,1440.130005,3963440000,202
2018-12-12,1440.699951,1471.959961,1440.699951,1455.319946,1455.319946,4029300000,203
2018-12-13,1455.680054,1460.550049,1431.680054,1432.699951,1432.699951,3978340000,204
2018-12-14,1431.819946,1435.390015,1407.109985,1410.810059,1410.810059,4064370000,205
2018-12-17,1410.77002,1417.099976,1372.72998,1378.140015,1378.140015,4661420000,206
2018-12-18,1379.48999,1399.430054,1373.719971,1377.180054,1377.180054,4519190000,207
2018-12-19,1377.209961,1392.920044,1344.150024,1349.22998,1349.22998,5152830000,208
2018-12-20,1348.650024,1350.890015,1313.02002,1326,1326,5619780000,209
2018-12-21,1325.869995,1334.76001,1289.48999,1292.089966,1292.089966,7657890000,210
2018-12-24,1290.540039,1290.920044,1266.920044,1266.920044,1266.920044,2613670000,211
2018-12-26,1268.189941,1330.420044,1268.189941,1329.810059,1329.810059,4249740000,212
2018-12-27,1329.790039,1331.97998,1289.319946,1331.819946,1331.819946,4139010000,213
2018-12-28,1332.060059,1356.22998,1326.439941,1337.920044,1337.920044,3728440000,214
2018-12-31,1338.52002,1348.560059,1329.170044,1348.560059,1348.560059,3461920000,215
2019-01-02,1346.109985,1357.77002,1325.180054,1355.910034,1355.910034,3733160000,216
2019-01-03,1355.02002,1355.02002,1328,1330.829956,1330.829956,3858830000,217
2019-01-04,1333.099976,1383.160034,1333.099976,1380.75,1380.75,4234140000,218
2019-01-07,1380.839966,1411.900024,1380.839966,1405.369995,1405.369995,4133120000,219
2019-01-08,1405.869995,1426.550049,1404.01001,1426.550049,1426.550049,4120060000,220
2019-01-09,1427,1442.420044,1427,1438.810059,1438.810059,4088740000,221
2019-01-10,1436.97998,1445.780029,1424.540039,1445.430054,1445.430054,3721300000,222
